Countries,Brunei Darussalam,Cambodia,China,Cook Islands,Democratic People's Republic of Korea,Fiji,Indonesia,Kiribati,Lao People's Democratic Republic,Malaysia,Marshall Islands,Micronesia,Mongolia,Myanmar,Nauru,Niue,Papua New Guinea,Philippines,Republic of Korea,Samoa,Singapore,Solomon Islands,Thailand,Timor-Leste,Tonga,Tuvalu,Vanuatu,Viet Nam
2021,96.57 ,87.14 ,98.43 ,86.43 ,51.43 ,99.00 ,71.29 ,90.71 ,75.14 ,96.57 ,88.00 ,72.29 ,96.43 ,37.14 ,98.43 ,96.86 ,33.57 ,52.86 ,97.14 ,84.14 ,96.86 ,82.71 ,97.71 ,83.43 ,99.00 ,95.00 ,64.14 ,84.00 
2020,96.43 ,88.71 ,98.43 ,92.43 ,94.14 ,98.57 ,78.43 ,91.43 ,78.57 ,98.14 ,89.00 ,82.57 ,97.29 ,77.14 ,97.14 ,98.14 ,41.43 ,68.14 ,97.29 ,89.00 ,96.43 ,87.29 ,97.71 ,83.43 ,99.00 ,95.43 ,75.71 ,91.14 
2019,98.67 ,89.14 ,98.57 ,98.57 ,97.43 ,96.86 ,86.71 ,95.71 ,78.86 ,98.14 ,86.71 ,80.29 ,98.29 ,79.29 ,97.14 ,99.00 ,37.00 ,71.14 ,97.14 ,81.57 ,96.14 ,86.29 ,97.71 ,87.14 ,99.00 ,95.43 ,89.29 ,90.43 
2018,99.00 ,86.14 ,98.57 ,99.00 ,97.71 ,94.86 ,83.71 ,92.57 ,82.86 ,98.14 ,88.14 ,79.71 ,98.86 ,79.71 ,95.14 ,92.57 ,38.57 ,73.00 ,97.00 ,52.29 ,96.71 ,83.29 ,97.71 ,82.71 ,99.00 ,93.14 ,85.43 ,83.43 
2017,98.67 ,89.00 ,98.57 ,98.86 ,98.00 ,93.86 ,80.43 ,89.00 ,82.14 ,97.14 ,87.14 ,79.43 ,98.86 ,76.57 ,93.29 ,96.86 ,40.86 ,76.43 ,96.86 ,73.43 ,95.86 ,80.29 ,99.00 ,82.00 ,99.00 ,97.14 ,85.00 ,93.00 
2016,98.83 ,90.43 ,98.57 ,97.71 ,97.43 ,95.14 ,86.83 ,80.57 ,84.50 ,96.14 ,81.14 ,77.57 ,98.71 ,90.33 ,98.00 ,96.43 ,51.00 ,79.71 ,97.14 ,77.86 ,96.00 ,86.43 ,99.00 ,74.86 ,95.00 ,96.43 ,85.83 ,92.14 
2015,98.50 ,90.86 ,98.57 ,99.00 ,97.14 ,97.57 ,86.67 ,79.86 ,84.50 ,96.57 ,89.00 ,77.29 ,98.57 ,89.83 ,95.29 ,98.00 ,52.43 ,74.71 ,97.86 ,79.29 ,93.00 ,81.57 ,99.00 ,76.00 ,95.57 ,96.86 ,83.50 ,93.29 
2014,98.67 ,91.00 ,98.29 ,98.86 ,96.43 ,97.71 ,89.17 ,76.86 ,84.50 ,95.71 ,83.71 ,79.86 ,98.57 ,89.33 ,97.14 ,98.57 ,56.43 ,77.00 ,98.00 ,81.00 ,92.57 ,76.29 ,99.00 ,77.33 ,98.57 ,94.00 ,88.50 ,89.86 
2013,98.33 ,82.00 ,99.00 ,97.86 ,96.43 ,98.29 ,91.67 ,91.00 ,82.83 ,95.71 ,85.57 ,81.86 ,97.86 ,81.33 ,93.57 ,99.00 ,64.86 ,78.86 ,99.00 ,85.29 ,93.00 ,79.29 ,99.00 ,81.50 ,99.00 ,94.43 ,85.67 ,77.57 
2012,96.33 ,88.43 ,98.57 ,97.71 ,97.71 ,98.86 ,86.67 ,91.71 ,78.00 ,96.43 ,86.86 ,84.43 ,98.71 ,81.50 ,89.86 ,99.00 ,63.86 ,81.14 ,99.00 ,83.29 ,92.86 ,85.57 ,98.67 ,82.00 ,95.00 ,98.00 ,83.17 ,94.29 
2011,95.33 ,88.86 ,98.43 ,94.43 ,96.86 ,98.57 ,84.83 ,90.00 ,76.17 ,96.43 ,88.00 ,84.86 ,98.43 ,80.50 ,99.00 ,99.00 ,61.29 ,81.71 ,98.83 ,81.14 ,92.57 ,87.00 ,98.67 ,68.50 ,99.00 ,97.43 ,80.50 ,90.29 
2010,96.17 ,86.43 ,98.00 ,99.00 ,96.43 ,98.14 ,83.50 ,87.57 ,73.50 ,96.43 ,97.14 ,82.57 ,96.71 ,91.00 ,99.00 ,92.71 ,60.43 ,81.57 ,95.50 ,76.57 ,92.71 ,81.57 ,98.67 ,72.83 ,99.00 ,92.71 ,78.00 ,83.00 
2009,98.50 ,88.57 ,98.14 ,88.71 ,96.00 ,98.14 ,80.83 ,79.43 ,67.17 ,96.86 ,95.43 ,86.71 ,96.14 ,90.67 ,99.00 ,99.00 ,64.14 ,81.43 ,94.67 ,66.86 ,93.00 ,83.86 ,98.67 ,73.83 ,99.00 ,92.71 ,75.17 ,88.29 
2008,98.00 ,85.43 ,96.43 ,98.43 ,95.29 ,97.71 ,81.00 ,78.57 ,62.50 ,97.57 ,95.29 ,85.86 ,96.29 ,85.50 ,99.00 ,99.00 ,59.57 ,79.14 ,93.83 ,56.00 ,93.43 ,84.29 ,98.67 ,80.00 ,98.86 ,98.14 ,72.83 ,82.71 
2007,97.17 ,74.86 ,93.14 ,98.86 ,95.29 ,97.71 ,78.33 ,89.00 ,50.17 ,96.14 ,94.43 ,84.86 ,97.29 ,85.67 ,99.00 ,99.00 ,63.71 ,77.43 ,92.67 ,72.86 ,93.43 ,90.14 ,97.67 ,70.60 ,99.00 ,97.57 ,70.00 ,78.14 
2006,97.50 ,81.67 ,92.86 ,99.00 ,94.29 ,97.00 ,78.17 ,82.57 ,57.83 ,95.14 ,91.86 ,77.57 ,98.43 ,81.33 ,93.71 ,94.86 ,70.57 ,87.67 ,98.33 ,60.14 ,92.57 ,96.43 ,97.67 ,66.20 ,99.00 ,96.00 ,67.50 ,93.83 
2005,96.17 ,83.00 ,87.29 ,99.00 ,90.71 ,96.00 ,77.33 ,77.71 ,53.67 ,95.71 ,88.71 ,90.86 ,97.14 ,76.17 ,85.43 ,79.57 ,74.67 ,83.67 ,97.50 ,65.43 ,93.14 ,88.29 ,97.67 ,58.40 ,99.00 ,90.00 ,68.17 ,95.17 
2004,96.67 ,87.60 ,85.14 ,99.00 ,90.43 ,94.86 ,76.50 ,69.57 ,49.67 ,95.86 ,76.43 ,78.71 ,98.57 ,78.33 ,82.00 ,87.43 ,71.33 ,82.67 ,92.83 ,59.14 ,92.29 ,87.86 ,97.67 ,61.20 ,99.00 ,97.14 ,69.00 ,96.17 
2003,97.00 ,70.60 ,85.50 ,96.71 ,67.86 ,95.43 ,76.00 ,76.71 ,55.00 ,95.29 ,84.86 ,85.71 ,98.14 ,68.67 ,80.71 ,95.43 ,75.17 ,80.00 ,93.67 ,83.71 ,93.14 ,83.43 ,97.67 ,60.40 ,97.86 ,94.86 ,69.67 ,93.67 
2002,97.50 ,56.60 ,84.50 ,96.86 ,84.40 ,94.86 ,75.00 ,83.71 ,58.40 ,94.71 ,85.57 ,79.14 ,98.14 ,80.60 ,78.71 ,99.00 ,68.83 ,74.83 ,95.17 ,93.86 ,95.50 ,78.71 ,96.50 ,58.20 ,93.57 ,96.43 ,70.67 ,89.00 
2001,98.67 ,61.40 ,83.67 ,92.86 ,79.40 ,93.86 ,75.50 ,83.14 ,55.20 ,96.29 ,77.29 ,74.00 ,95.86 ,75.80 ,97.14 ,99.00 ,64.83 ,77.50 ,93.17 ,92.14 ,96.17 ,87.86 ,96.50 ,58.20 ,95.29 ,97.14 ,71.17 ,97.20 
